,Returns,Volatility,P/E ratio,Seasonality_MoM_February,Seasonality_MoM_March,Seasonality_MoM_April,Seasonality_MoM_May,Seasonality_MoM_June,Seasonality_MoM_July,Seasonality_MoM_August,Seasonality_MoM_September,Seasonality_MoM_October,Seasonality_MoM_November,Seasonality_MoM_December,Average_MA_20_Q2_2021,Average_MA_20_Q3_2021,Average_MA_20_Q4_2021,Average_MA_20_Q1_2022,Average_MA_20_Q2_2022,Average_MA_20_Q3_2022,Average_MA_20_Q4_2022,Average_MA_20_Q1_2023,Average_MA_20_Q2_2023,Average_MA_20_Q3_2023,Average_MA_20_Q4_2023,Average_MA_20_Q1_2024,Average_MA_20_Q2_2024,Average_MA_20_Q3_2024,Average_MA_20_Q4_2024
AC,-0.016715410157513592,0.3042824586672803,8.985726338371403,-0.009998616739047117,-0.05886192486069941,-0.044982763708306894,-0.0291831667408764,0.023546453232813236,-0.0376865923582409,0.036263407232800304,0.038206045860448734,0.010311023035060485,0.01288429761217591,0.012354060774519837,768.6289213282733,740.9273955573359,818.159692629371,820.5366330200492,702.3797227853443,650.357633707125,644.609514708178,673.5780317693095,638.5966087388362,604.4542235998492,618.4538873896897,679.5406024928525,601.3085588778918,594.4025250270079,673.7870887254344
ACEN,-0.08772519316051598,0.39548584385920454,14.889815366289458,-0.04762681249564582,-0.058234783671626045,-0.041141032078637174,-0.011106794714712098,0.09658129000632354,0.022493239652253028,0.05622469230375726,-0.025879623620310266,0.021788413113827065,0.0019309210137294919,-0.03876195283263795,7.56975907456253,8.698947539812501,11.322947583185485,9.027545175918032,7.5637266343606555,7.880544354453125,6.370085724881356,6.926722849126984,5.924312387586206,5.134343102857143,4.934937100818965,4.175030426008196,4.155827812675001,5.110661272230159,4.739770491803278
AEV,0.05113526888605391,0.35428296542573445,12.114947981971602,-0.02436506446135578,-0.00917939388172817,-0.05907111171588353,-0.04627712856247057,-0.04017205019297532,-0.01128200877801755,-0.0028936875707351595,0.029028679383081957,0.006854889034254574,0.0013303829923581034,0.024488357988384335,35.20982636416821,36.60767854105469,44.447231340556456,52.4996419415,47.98655385118033,49.28405168667969,50.8796983468644,50.58200812884921,49.66366391165517,47.46482709189683,44.60583058512931,44.83253404780328,38.758455467891665,34.081335170634915,33.893939735254094
AGI,0.019598234178791484,0.30376014128543527,2.881265625640395,0.025988422888667317,-0.03239639668862426,-0.04475541068063826,-0.00478116742218937,-0.07418789098216338,-0.02391060100234743,-0.0004641495658231909,0.0045495317849454375,-0.03535494309739673,-0.002984111507185694,0.04575234011501972,9.936975375602607,9.720330599195313,10.446196476782257,11.994262279409835,11.036258301877048,9.349215131171874,8.794565306889831,11.982717147357143,12.714692363232759,12.398354081674603,10.83153633161207,10.813017516893442,9.4711866341,8.773318034904761,9.079591886877049
ALI,-0.00870826006831094,0.3547502514610255,11.83882932777806,0.016611494446843622,-0.049436359476802805,-0.06294853095363018,-0.07098825608384896,0.04718834070308142,-0.018763550959067232,0.04237853655301116,0.026877804634591107,0.005904163664739004,-0.005498497275097547,0.0067962046966232315,34.759670759642376,32.760864607375,33.77533552805645,34.54701979687705,30.56702096777049,25.707617806148438,25.49513751394068,28.501690830190476,25.69238003137069,26.077227210650793,28.42921912576724,33.07555576162295,28.391135695133336,30.62888159602381,32.44534672604918
AREIT,0.10849318213642105,0.2619179495244798,15.31895434799177,0.006158301486710149,-0.014112526938089731,-0.04751022270146765,-0.03640190681045874,-0.013198611051951192,0.014103571147410898,0.023364173465705518,-0.0003269217031239835,0.00572824422613849,0.03443999163546341,0.032491728213832616,29.10397548354492,29.719574834679687,35.764623410249996,40.98413779309836,34.52017099115574,31.43944608875,28.810198169135592,30.803822068261905,29.628602521939655,30.271244493507936,29.276908091508623,31.353132416565575,32.209418466449996,35.51172624846032,37.76121093490164
BDO,0.20546490803131398,0.29659479589859933,10.499344994991135,0.07371277928611197,-0.023097453457277206,0.030890168693672226,-0.0204923320427588,-0.10587822515288192,0.028497009002296125,0.007447516239725505,0.022675325490464804,0.030107539476330047,-0.013280725962661055,-0.01955188328078772,83.00425850494933,85.21152808388281,94.97086479779033,99.64363510248361,99.67982836431968,94.30984503915624,97.29814200461017,112.91477865088096,126.89590424244827,133.4077181963651,126.65656911849138,137.61874414313112,139.21296029440833,139.67634177587303,152.03702933395084
BLOOM,-0.02689778017259882,0.3948852841935666,12.995807803934216,0.07884596866631743,-0.030529688069660832,-0.03348659835557455,0.0714658348761843,-0.13426668190979718,-0.0016605872025341473,-0.030453842278111987,0.015693929021144526,-0.03687834322664252,-0.009852480297638189,-0.05706250983994321,6.805457013266476,6.028905552460937,6.6229484494112905,6.385627488098361,6.16222535997541,6.291030887242187,6.766067774779661,8.706719350341269,9.795013616637933,10.825409930380951,9.748810960232758,10.504481797090163,10.279292414308333,8.40875988936508,6.938219718540984
BPI,0.19743208512049268,0.2801903791543721,11.620174884463212,0.047338883099971585,-0.016190369124286286,0.04002943672664394,0.010921075198041752,-0.10601326714168247,0.0427790034405191,-0.006527589099791564,0.009093572797038596,0.044264996335733,-0.0058129666046615736,-0.01188916437523746,71.50655482103903,70.65106898310937,73.24219954712096,81.1974976827295,81.32547010490163,78.3223466325,81.34708473735593,90.69624529301586,97.09134188542785,105.36447031990477,100.5567277565,108.3272729555,117.58567539565,119.96542837149205,134.94137200637707
CBC,0.3404794630291054,0.18638437116167775,7.680735655564031,0.058344098187066984,0.016173506261778936,0.054401912780232875,0.06066648767469962,-0.11426923153488544,0.03011705850533508,0.001337918748635536,0.04367897021391254,0.11886372641123777,-0.010965901648296583,0.013662554393079729,19.976198653266255,20.19291417365625,20.250480031048387,21.353098094877048,22.59323618277049,23.916474567976564,23.18600025729661,25.467500025119048,28.311222757077584,28.17823011915873,27.886559742853446,29.929741052516395,36.23442487566667,39.545187447126985,56.00216919307377
