time,AC,ACEN,AEV,AGI,ALI,AREIT,BDO,BLOOM,BPI,CBC,CNPF,CNVRG,DMC,EMI,GLO,GTCAP,ICT,JFC,JGS,LTG,MBT,MER,MONDE,PGOLD,SCC,SM,SMC,SMPH,TEL,URC
2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,254.90004321,,,,
2011-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,255.82695246,,,,
2011-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,254.6683159,,,,
2011-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,259.53458946,,,,
2011-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,257.21731634,,,,
2011-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,258.3759529,,,,
2011-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,246.09440535,,,,
2011-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,240.9964045,,,,
2011-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,240.06949525,,,,
2011-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,227.09276577,,,,
2011-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,208.55458081,,,,
2011-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,238.91085869,,,,
2011-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,233.11767589,,,,
2011-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,241.92331375,,,,
2011-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,224.77549265,,,,
2011-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,223.8485834,,,,
2011-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,222.45821953,,,,
2011-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,227.09276577,,,,
2011-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,236.36185826,,,,
2011-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,234.50803976,,,,
2011-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,236.36185826,,,,
2011-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,236.59358557,,,,
