,Average_MA_20_Q2_2021,Average_MA_20_Q3_2021,Average_MA_20_Q4_2021,Average_MA_20_Q1_2022,Average_MA_20_Q2_2022,Average_MA_20_Q3_2022,Average_MA_20_Q4_2022,Average_MA_20_Q1_2023,Average_MA_20_Q2_2023,Average_MA_20_Q3_2023,Average_MA_20_Q4_2023,Average_MA_20_Q1_2024,Average_MA_20_Q2_2024,Average_MA_20_Q3_2024,Average_MA_20_Q4_2024
AC,768.6289213282733,740.9273955573359,818.159692629371,820.5366330200492,702.3797227853443,650.357633707125,644.609514708178,673.5780317693095,638.5966087388362,604.4542235998492,618.4538873896897,679.5406024928525,601.3085588778918,594.4025250270079,673.7870887254344
ACEN,7.56975907456253,8.698947539812501,11.322947583185485,9.027545175918032,7.5637266343606555,7.880544354453125,6.370085724881356,6.926722849126984,5.924312387586206,5.134343102857143,4.934937100818965,4.175030426008196,4.155827812675001,5.110661272230159,4.739770491803278
AEV,35.20982636416821,36.60767854105469,44.447231340556456,52.4996419415,47.98655385118033,49.28405168667969,50.8796983468644,50.58200812884921,49.66366391165517,47.46482709189683,44.60583058512931,44.83253404780328,38.758455467891665,34.081335170634915,33.893939735254094
AGI,9.936975375602607,9.720330599195313,10.446196476782257,11.994262279409835,11.036258301877048,9.349215131171874,8.794565306889831,11.982717147357143,12.714692363232759,12.398354081674603,10.83153633161207,10.813017516893442,9.4711866341,8.773318034904761,9.079591886877049
ALI,34.759670759642376,32.760864607375,33.77533552805645,34.54701979687705,30.56702096777049,25.707617806148438,25.49513751394068,28.501690830190476,25.69238003137069,26.077227210650793,28.42921912576724,33.07555576162295,28.391135695133336,30.62888159602381,32.44534672604918
AREIT,29.10397548354492,29.719574834679687,35.764623410249996,40.98413779309836,34.52017099115574,31.43944608875,28.810198169135592,30.803822068261905,29.628602521939655,30.271244493507936,29.276908091508623,31.353132416565575,32.209418466449996,35.51172624846032,37.76121093490164
BDO,83.00425850494933,85.21152808388281,94.97086479779033,99.64363510248361,99.67982836431968,94.30984503915624,97.29814200461017,112.91477865088096,126.89590424244827,133.4077181963651,126.65656911849138,137.61874414313112,139.21296029440833,139.67634177587303,152.03702933395084
BLOOM,6.805457013266476,6.028905552460937,6.6229484494112905,6.385627488098361,6.16222535997541,6.291030887242187,6.766067774779661,8.706719350341269,9.795013616637933,10.825409930380951,9.748810960232758,10.504481797090163,10.279292414308333,8.40875988936508,6.938219718540984
BPI,71.50655482103903,70.65106898310937,73.24219954712096,81.1974976827295,81.32547010490163,78.3223466325,81.34708473735593,90.69624529301586,97.09134188542785,105.36447031990477,100.5567277565,108.3272729555,117.58567539565,119.96542837149205,134.94137200637707
CBC,19.976198653266255,20.19291417365625,20.250480031048387,21.353098094877048,22.59323618277049,23.916474567976564,23.18600025729661,25.467500025119048,28.311222757077584,28.17823011915873,27.886559742853446,29.929741052516395,36.23442487566667,39.545187447126985,56.00216919307377
CNPF,21.840820670051517,23.051328743507813,24.90280901179032,23.793419109,20.38931445536885,22.37728916934375,22.681648936254234,23.64793363180159,23.745472532956896,25.319275846555552,28.344122047732757,32.41536056963115,34.95519982920833,34.34271034927777,40.15519867915574
CNVRG,19.899793723812742,25.496456560515625,32.53612752725807,28.12466404114754,26.15201456392623,18.942988511484376,13.43297217688983,15.957564536095239,11.525401471103448,9.364757248269841,8.517566841603449,8.805904018819671,9.250342372608333,12.202486488547619,16.011788243704917
DMC,3.64356401027618,3.8715854148046875,5.032821598709678,5.439280433319672,5.895951898606557,6.468680142257813,7.084142952508475,8.527753908579365,7.920719640818966,7.55102678334127,8.001354503267242,8.898040075663934,9.89817838205,10.177323245007937,10.39594842762295
EMI,9.519087319619594,13.360022634859375,17.442082846016127,18.7287621359918,16.689058575631147,18.53418874033594,19.181829794144065,19.868939558380955,20.36290657825862,20.63003818729365,20.351391085551725,19.69977833277869,18.224365717766666,18.47172837418254,18.258297133368853
GLO,1483.466844157119,1774.3744762198594,2657.725375236226,2482.054845401287,2024.6627731583853,1858.422671000289,1936.2620797806949,1793.862225215365,1568.703587894362,1654.8463838692937,1624.8223903435346,1618.287912229328,1732.5326332384082,2066.395290299746,2152.0794578592627
GTCAP,578.9774828703323,547.6143517190937,542.8427509344193,541.1910762358852,495.9075598544836,468.9752976282109,412.4247921719407,476.3998956630635,484.3570481820776,523.4487969542539,548.2574225044569,636.7546904294836,627.6742737105917,605.3103406643334,681.7768833299508
ICT,126.71255346276816,145.80996183464845,163.10575946054837,179.12695499288523,190.52459394732787,164.04472110168751,160.56003898121187,183.33774783410317,192.00471123335345,191.45785498847619,196.6833835987069,244.43318033284424,321.53837225035835,357.6732894425873,387.86053870311474
JFC,190.35371599902803,193.1485721412422,217.51334532458065,222.8008340512377,207.25000256044262,212.62589553453907,229.5419605836017,231.02253830992856,220.7976126792586,239.01370231679365,220.70566016009482,254.30312479029507,228.62184378039169,234.03819244100794,264.49323942540985
JGS,58.15048621288925,59.876221374890626,59.138169420612904,57.17092053610656,53.6382869792459,50.84333883815625,43.94839868274576,51.89700929942063,48.905196588543106,41.183975393150796,37.593608722939656,39.16566928589344,32.22757907255,26.012857184920634,24.511737705737705
LTG,8.174805434723398,6.411468898625,6.21832880842742,6.271735652270492,5.825443940565574,6.047409778695313,6.230696960211865,7.566166355682539,7.787380523387931,7.602278975079365,7.470350185508621,8.073786111647541,8.877197884575,9.02759687334127,9.641120790090165
MBT,38.70621367610682,36.771316972851565,38.758807132499996,44.99775819764754,43.73715084747541,41.31386498142969,43.53847527516102,48.9635897456508,50.47425585311207,48.68033011719047,46.20529228688793,50.8357647449918,63.409457647158334,65.08197138499207,73.61464072544263
MER,226.96167607220897,228.80079219089063,244.1801154283629,276.70673809214753,303.35204670184424,287.1830080305156,254.3829570675254,259.89008878233335,288.7072735022155,309.6801730205238,339.6302614350517,344.7803788068115,343.44127328614167,374.2642773449207,462.2993634399754
MONDE,12.845653473472536,15.13042619659375,16.08112903744355,14.744906040901638,13.045449049286885,13.795646549226563,11.456155455381355,11.63653148,8.696379772077586,7.441234220190476,7.910798326887932,8.76069352045082,10.322222560166667,9.225308331142857,9.694128617008197
PGOLD,33.24887611977157,35.0552964715,35.97446138416129,31.80129667986885,29.923188997540983,28.22060971225781,27.412609570813558,29.89873750438889,28.579637049663795,25.837026351000002,25.457271023155172,25.724804296934426,23.196662119425,25.53923882486508,30.34706060662295
SCC,7.216165385385653,8.640308160914062,12.661567159556451,14.176221873237706,17.863503879385245,22.82454030975,21.7863227899322,20.429193970142858,19.889379309922415,21.228903433865078,23.626050842603448,24.809162838237704,27.635669231925,28.87501216129365,30.093280888991803
SM,954.9317204542448,947.0429571899218,944.8148953749919,899.299132998205,825.3966707809016,794.098077598539,807.6930989029237,878.0571345250952,884.8380184468449,864.9888582376983,807.7106590366897,886.6766286263197,902.0443391059749,879.4770394996825,925.690338664787
