,Grand_Mean,Seasonality_Index_January,Seasonality_Index_February,Seasonality_Index_March,Seasonality_Index_April,Seasonality_Index_May,Seasonality_Index_June,Seasonality_Index_July,Seasonality_Index_August,Seasonality_Index_September,Seasonality_Index_October,Seasonality_Index_November,Seasonality_Index_December
AC,676.8704969689774,1.08549918305024,1.075500566311193,1.0166386414504935,0.9716558777421866,0.9424727110013102,0.9660191642341235,0.9283325718758826,0.9645959791086829,1.0028020249691316,1.013113048004192,1.025997345616368,1.0383514063908879
ACEN,6.577331736375,1.0397281805849883,0.9921013680893425,0.9338665844177164,0.8927255523390792,0.8816187576243671,0.9782000476306907,1.0006932872829437,1.056917979586701,1.0310383559663907,1.0528267690802178,1.0547576900939473,1.0159957372613093
AEV,44.38057577811363,1.1298903348441263,1.1055252703827705,1.0963458765010423,1.0372747647851588,0.9909976362226882,0.9508255860297129,0.9395435772516953,0.9366498896809602,0.9656785690640421,0.9725334580982967,0.9738638410906548,0.9983521990790392
AGI,10.494683683931816,1.1094085508840976,1.135396973772765,1.1030005770841407,1.0582451664035024,1.053463998981313,0.9792761079991497,0.9553655069968022,0.954901357430979,0.9594508892159245,0.9240959461185277,0.921111834611342,0.9668641747263618
ALI,29.778679985272728,1.0774103560900854,1.094021850536929,1.0445854910601262,0.981636960106496,0.9106487040226471,0.9578370447257285,0.9390734937666613,0.9814520303196724,1.0083298349542635,1.0142339986190025,1.008735501343905,1.0155317060405282
AREIT,32.736981793738636,1.0500161398382306,1.0561744413249408,1.042061914386851,0.9945516916853834,0.9581497848749246,0.9449511738229734,0.9590547449703843,0.9824189184360899,0.9820919967329659,0.9878202409591044,1.0222602325945678,1.0547519608084004
BDO,116.76622848218183,0.9793052451247165,1.0530180244108285,1.0299205709535513,1.0608107396472235,1.0403184076044647,0.9344401824515828,0.9629371914538789,0.9703847076936044,0.9930600331840692,1.0231675726603993,1.0098868466977382,0.9903349634169505
BLOOM,8.032189696,1.0415320216537067,1.1203779903200242,1.0898483022503633,1.0563617038947888,1.127827538770973,0.9935608568611759,0.9919002696586418,0.9614464273805298,0.9771403564016743,0.9402620131750318,0.9304095328773936,0.8733470230374504
BPI,95.63328674658702,0.9655474613118925,1.012886344411864,0.9966959752875778,1.0367254120142217,1.0476464872122635,0.941633220070581,0.9844122235111001,0.9778846344113086,0.9869782072083472,1.0312432035440802,1.0254302369394186,1.0135410725641811
CBC,28.975869476647727,0.8542472365747779,0.9125913347618448,0.9287648410236238,0.9831667538038567,1.0438332414785563,0.9295640099436708,0.9596810684490059,0.9610189871976414,1.004697957411554,1.1235616838227918,1.1125957821744952,1.126258336567575
CNPF,27.21069025896591,0.986771426533813,0.9992736832793031,0.9449256575345769,1.003106191849689,0.9725203020173465,0.8870695239775686,0.9435273275323603,0.9747962619501677,1.043529268192121,1.0645100449202332,1.0738848297619845,1.0947347313800868
CNVRG,17.003872915306818,1.0858978348162425,1.0148792589672364,0.9651467085656465,0.9724438410106653,0.8971047544328523,0.946053304824479,0.9272374208027634,0.9857626085167963,1.0879527681322163,1.0409497215160157,1.0212851914274088,1.0430633477272373
DMC,7.469677968340909,1.0337111738735547,1.044074536997477,1.0456380056126335,1.0717581382811923,1.054688552708093,0.8909279401414126,0.9285810895712333,0.9324418772990362,0.9914598837783452,1.0511134229040948,1.0037434410995636,1.0227058918468765
EMI,18.397934164545454,1.077064681124501,1.0927324830509455,0.9463862294353846,0.9801687223235087,1.0394907046044017,0.8998168873989559,0.9312263831590003,0.9842032300672107,1.0216384083515881,1.0223429836780709,1.0186518626331589,1.027410127474503
GLO,1921.5399425357273,1.0641184045290708,0.995299092604049,0.9284709666005397,0.9158174419386447,0.9278236948685177,0.8912764014013476,0.9257934294717897,0.9690030744923146,1.04859278530537,1.0991954526005165,1.099933682812521,1.0986457603609936
